timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,phone_rssi,watch_rssi
251758,0.31,0.09,0.95,0.12,0.24,0.06,406.0,-771.0,397.0,-58.0,-78.0
251792,0.3,0.09,0.95,0.12,0.18,0.12,406.0,-771.0,397.0,-58.0,-78.0
251824,0.3,0.09,0.95,0.12,0.12,0.06,406.0,-771.0,397.0,-58.0,-78.0
251848,0.31,0.09,0.95,0.12,0.18,0.06,406.0,-771.0,397.0,-58.0,-78.0
251879,0.3,0.09,0.95,0.06,0.06,0.06,406.0,-770.0,394.0,-58.0,-78.0
251915,0.31,0.09,0.95,0.12,0.12,0.12,406.0,-770.0,394.0,-58.0,-82.0
251943,0.3,0.09,0.95,0.24,0.24,0.18,406.0,-770.0,394.0,-58.0,-82.0
251970,0.3,0.09,0.95,0.0,0.06,0.06,407.0,-771.0,397.0,-58.0,-82.0
251996,0.31,0.09,0.95,0.06,0.31,0.06,407.0,-771.0,397.0,-58.0,-82.0
252028,0.31,0.09,0.95,0.18,0.12,0.12,407.0,-771.0,397.0,-58.0,-82.0
252061,0.31,0.09,0.95,0.06,0.18,0.12,405.0,-769.0,401.0,-58.0,-82.0
252093,0.31,0.09,0.95,0.18,0.18,0.06,405.0,-769.0,401.0,-58.0,-82.0
252124,0.3,0.09,0.95,0.18,0.12,0.18,405.0,-769.0,401.0,-58.0,-82.0
252153,0.31,0.09,0.95,0.06,0.06,0.06,406.0,-768.0,395.0,-58.0,-82.0
252190,0.31,0.09,0.95,0.18,0.31,0.06,406.0,-768.0,395.0,-58.0,-82.0
252215,0.3,0.09,0.95,0.12,0.06,0.06,406.0,-768.0,395.0,-58.0,-82.0
252249,0.3,0.09,0.95,0.12,0.06,0.12,405.0,-769.0,398.0,-58.0,-82.0
252275,0.3,0.09,0.95,0.12,0.31,0.06,405.0,-769.0,398.0,-58.0,-82.0
252301,0.3,0.09,0.95,0.12,0.06,0.06,405.0,-769.0,398.0,-59.0,-82.0
252327,0.3,0.09,0.95,0.12,0.31,0.12,405.0,-769.0,398.0,-59.0,-82.0
252354,0.3,0.09,0.95,0.18,0.12,0.12,406.0,-770.0,395.0,-59.0,-82.0
252391,0.3,0.09,0.95,0.18,0.18,0.06,406.0,-770.0,395.0,-59.0,-77.0
252422,0.3,0.09,0.95,0.18,0.18,0.06,406.0,-770.0,395.0,-59.0,-77.0
252445,0.3,0.09,0.95,0.12,0.12,0.06,404.0,-767.0,397.0,-59.0,-77.0
252483,0.3,0.09,0.95,0.18,0.12,0.12,404.0,-767.0,397.0,-59.0,-77.0
252517,0.3,0.09,0.95,0.0,0.18,0.06,404.0,-767.0,397.0,-59.0,-77.0
252553,0.3,0.09,0.95,0.06,0.18,0.06,405.0,-767.0,401.0,-59.0,-77.0
252585,0.31,0.09,0.95,0.12,0.24,0.12,405.0,-767.0,401.0,-59.0,-77.0
252610,0.3,0.09,0.95,0.0,0.12,0.12,405.0,-767.0,401.0,-59.0,-77.0
252642,0.3,0.09,0.95,0.06,0.18,0.12,406.0,-769.0,396.0,-59.0,-77.0
252672,0.3,0.09,0.95,0.31,0.31,0.06,406.0,-769.0,396.0,-59.0,-77.0
252706,0.3,0.09,0.95,-0.06,-0.06,0.06,406.0,-769.0,396.0,-59.0,-80.0
252735,0.3,0.09,0.95,0.0,0.31,0.12,406.0,-769.0,396.0,-59.0,-80.0
252766,0.3,0.09,0.95,0.12,0.24,0.06,403.0,-768.0,394.0,-59.0,-80.0
252793,0.3,0.09,0.95,0.18,-0.06,0.12,403.0,-768.0,394.0,-59.0,-80.0
252829,0.3,0.09,0.95,0.0,0.31,0.18,403.0,-768.0,394.0,-59.0,-78.0
252861,0.31,0.09,0.95,0.06,0.37,0.18,403.0,-769.0,395.0,-59.0,-78.0
252891,0.3,0.09,0.95,0.31,0.0,0.06,403.0,-769.0,395.0,-59.0,-78.0
252914,0.31,0.09,0.95,0.06,0.43,0.18,403.0,-769.0,395.0,-59.0,-78.0
252945,0.3,0.09,0.95,0.24,0.12,0.06,404.0,-769.0,398.0,-59.0,-78.0
252968,0.3,0.09,0.95,0.06,-0.12,0.12,404.0,-769.0,398.0,-59.0,-78.0
252997,0.3,0.09,0.95,0.18,0.37,0.12,404.0,-769.0,398.0,-59.0,-82.0
253025,0.3,0.09,0.95,0.06,0.06,0.0,404.0,-769.0,398.0,-59.0,-82.0
253058,0.3,0.09,0.95,0.12,0.0,0.06,405.0,-769.0,392.0,-59.0,-82.0
253090,0.31,0.09,0.95,0.12,0.24,0.06,405.0,-769.0,392.0,-59.0,-82.0
253118,0.3,0.09,0.95,0.12,0.06,0.12,405.0,-769.0,392.0,-59.0,-82.0
253154,0.3,0.09,0.94,0.06,-0.12,0.06,406.0,-769.0,398.0,-59.0,-82.0
253180,0.31,0.09,0.95,-0.06,0.43,0.18,406.0,-769.0,398.0,-59.0,-82.0
253213,0.3,0.09,0.95,0.24,0.31,0.06,406.0,-769.0,398.0,-59.0,-82.0
253244,0.3,0.09,0.94,0.0,-0.18,0.06,405.0,-767.0,399.0,-59.0,-82.0
253273,0.31,0.09,0.95,0.06,0.49,0.24,405.0,-767.0,399.0,-59.0,-82.0
253306,0.3,0.09,0.95,0.31,0.12,0.0,405.0,-767.0,399.0,-59.0,-82.0
253333,0.3,0.09,0.94,0.06,-0.31,0.12,405.0,-769.0,400.0,-59.0,-82.0
253367,0.31,0.1,0.95,0.55,0.55,-0.06,405.0,-769.0,400.0,-59.0,-82.0
253398,0.31,0.09,0.97,0.85,-0.12,-0.06,405.0,-769.0,400.0,-59.0,-82.0
253432,0.3,0.08,0.95,0.0,-0.31,0.24,404.0,-770.0,399.0,-59.0,-82.0
253467,0.3,0.1,0.94,-0.43,0.06,-0.18,404.0,-770.0,399.0,-59.0,-82.0
253498,0.3,0.1,0.93,-0.12,0.55,0.12,404.0,-770.0,399.0,-59.0,-82.0
253529,0.31,0.09,0.95,1.46,1.28,-0.12,405.0,-769.0,395.0,-59.0,-82.0
253563,0.32,0.08,0.96,-0.06,0.98,0.06,405.0,-769.0,395.0,-59.0,-82.0
253587,0.3,0.09,0.95,-0.73,1.1,0.43,405.0,-769.0,395.0,-59.0,-82.0
253616,0.29,0.09,0.95,-0.37,-0.49,0.06,405.0,-769.0,395.0,-59.0,-82.0
253653,0.3,0.09,0.94,0.85,-0.98,-0.12,405.0,-771.0,400.0,-59.0,-82.0
253682,0.32,0.09,0.95,-0.06,1.1,0.12,405.0,-771.0,400.0,-59.0,-82.0
253710,0.32,0.09,0.95,-0.67,1.53,0.24,405.0,-771.0,400.0,-59.0,-82.0
253742,0.31,0.09,0.94,0.06,-0.37,-0.06,406.0,-770.0,399.0,-59.0,-82.0
253775,0.3,0.09,0.95,0.49,-0.37,0.06,406.0,-770.0,399.0,-59.0,-82.0
253802,0.3,0.09,0.96,0.73,0.85,0.0,406.0,-770.0,399.0,-59.0,-82.0
253838,0.31,0.09,0.95,-0.12,1.04,0.24,406.0,-768.0,400.0,-59.0,-82.0
253869,0.32,0.08,0.95,-0.43,0.12,0.31,406.0,-768.0,400.0,-59.0,-82.0
253895,0.31,0.08,0.97,0.0,-0.43,-0.12,406.0,-768.0,400.0,-59.0,-82.0
253924,0.3,0.1,0.93,-0.67,-0.18,0.0,405.0,-768.0,399.0,-59.0,-82.0
253957,0.3,0.1,0.94,1.22,0.49,0.31,405.0,-768.0,399.0,-59.0,-82.0
253988,0.3,0.07,0.95,0.37,0.73,0.06,405.0,-768.0,399.0,-59.0,-82.0
254018,0.31,0.09,0.95,-0.92,0.55,-0.12,404.0,-769.0,394.0,-59.0,-82.0
254054,0.31,0.1,0.94,0.0,0.92,0.24,404.0,-769.0,394.0,-59.0,-82.0
254085,0.31,0.09,0.95,0.79,-0.18,0.12,404.0,-769.0,394.0,-59.0,-82.0
254120,0.31,0.08,0.95,0.31,-0.43,-0.06,405.0,-772.0,399.0,-59.0,-82.0
254147,0.3,0.09,0.94,-0.49,0.0,0.12,405.0,-772.0,399.0,-59.0,-82.0
254179,0.31,0.09,0.95,-0.92,1.22,0.43,405.0,-772.0,399.0,-59.0,-82.0
254205,0.32,0.08,0.96,0.55,0.12,-0.18,405.0,-772.0,399.0,-59.0,-82.0
254233,0.32,0.09,0.94,0.12,-0.61,-0.06,403.0,-768.0,399.0,-59.0,-82.0
254263,0.3,0.09,0.94,0.31,0.0,0.24,403.0,-768.0,399.0,-59.0,-82.0
254297,0.3,0.09,0.95,0.43,0.0,0.18,403.0,-768.0,399.0,-59.0,-82.0
254330,0.31,0.08,0.95,-0.31,0.43,0.0,406.0,-768.0,398.0,-62.0,-82.0
254363,0.31,0.1,0.95,0.06,0.37,0.06,406.0,-768.0,398.0,-62.0,-82.0
254400,0.31,0.09,0.94,0.67,-0.24,0.12,406.0,-768.0,398.0,-62.0,-82.0
