timestamp,accel_x,accel_y,vel_x,vel_y,pos_x,pos_y
249.867,0.3,0.09,0.0,0.0,6.0,6.0
249.895,0.3,0.09,0.008400000000006002,0.0025200000000018007,6.0002352000000005,6.00007056
249.928,0.3,0.09,0.018300000000002113,0.005490000000000634,6.0008391,6.0002517300000004
249.953,0.31,0.09,0.026050000000003876,0.007740000000001145,6.001490350000001,6.00044523
249.989,0.3,0.09,0.03685000000000428,0.010980000000001268,6.0028169500000015,6.000840510000001
250.012,0.31,0.09,0.043980000000003086,0.01305000000000092,6.003828490000001,6.001140660000001
250.045,0.3,0.09,0.0538799999999992,0.016019999999999753,6.0056065300000006,6.00166932
250.085,0.3,0.09,0.06588000000000534,0.019620000000001594,6.008241730000002,6.002454120000001
250.111,0.31,0.09,0.07393999999999977,0.02195999999999998,6.01016417,6.0030250800000005
250.151,0.31,0.09,0.0863400000000061,0.02556000000000182,6.013617770000002,6.004047480000001
250.181,0.3,0.09,0.09534000000000645,0.028260000000001922,6.016477970000003,6.004895280000001
250.212,0.31,0.09,0.10494999999999947,0.031049999999999897,6.01973142,6.005857830000001
250.241,0.3,0.09,0.11365000000000691,0.033660000000002126,6.023027270000004,6.0068339700000015
250.267,0.3,0.09,0.12145000000000153,0.03600000000000051,6.026184970000002,6.007769970000001
250.299,0.3,0.09,0.13105000000000475,0.03888000000000147,6.030378570000003,6.0090141300000015
250.329,0.31,0.09,0.1403500000000051,0.041580000000001574,6.0345890700000036,6.010261530000002
250.366,0.3,0.09,0.15145000000000694,0.04491000000000213,6.040192720000005,6.011923200000003
250.394,0.3,0.09,0.1598500000000044,0.047430000000001374,6.044668520000004,6.013251240000002
250.434,0.3,0.09,0.17185000000000203,0.05103000000000066,6.051542520000003,6.015292440000002
250.47,0.3,0.09,0.18265000000000245,0.05427000000000078,6.058117920000003,6.017246160000003
250.493,0.31,0.09,0.18978000000000125,0.05634000000000043,6.062482860000002,6.018541980000003
250.527,0.3,0.09,0.1999799999999988,0.059399999999999696,6.06928218,6.0205615800000025
250.558,0.3,0.09,0.20928000000000058,0.06219000000000023,6.075769860000001,6.022489470000003
250.596,0.3,0.09,0.22068000000000385,0.06561000000000121,6.084155700000004,6.024982650000004
250.628,0.31,0.09,0.23059999999999836,0.0684899999999996,6.091534899999999,6.027174330000002
250.657,0.3,0.09,0.23930000000000579,0.07110000000000184,6.098474600000006,6.029236230000004
250.683,0.3,0.09,0.2471000000000004,0.07344000000000023,6.104899200000001,6.031145670000003
250.719,0.3,0.09,0.2579000000000008,0.07668000000000035,6.114183600000001,6.033906150000003
250.742,0.3,0.09,0.26479999999999965,0.07875,6.120274,6.035717400000002
250.766,0.3,0.09,0.2719999999999999,0.08091000000000008,6.1268020000000005,6.037659240000002
250.798,0.3,0.09,0.2816000000000031,0.08379000000000104,6.135813200000004,6.040340520000003
250.819,0.3,0.09,0.2878999999999991,0.08567999999999984,6.1418591,6.042139800000001
250.84,0.3,0.09,0.2942000000000036,0.08757000000000119,6.148037300000004,6.0439787700000025
250.868,0.3,0.09,0.3026000000000011,0.09009000000000043,6.156510100000001,6.046501290000002
250.899,0.3,0.09,0.31190000000000284,0.09288000000000096,6.166179000000003,6.049380570000002
250.928,0.3,0.09,0.3206000000000018,0.09549000000000063,6.175476400000002,6.0521497800000015
250.962,0.3,0.09,0.3307999999999993,0.09854999999999989,6.186723599999999,6.055500480000001
250.992,0.31,0.09,0.3400999999999997,0.10124999999999999,6.196926599999999,6.058537980000001
251.027,0.3,0.09,0.35059999999999863,0.10439999999999969,6.209197599999998,6.0621919800000015
251.058,0.3,0.09,0.3599000000000004,0.10719000000000022,6.2203545,6.065514870000002
251.087,0.3,0.09,0.3685999999999993,0.10979999999999988,6.231043899999999,6.068699070000002
251.12,0.3,0.09,0.37850000000000394,0.11277000000000127,6.243534400000005,6.0724204800000035
251.149,0.31,0.09,0.38749000000000283,0.11538000000000094,6.254771610000004,6.075766500000003
251.185,0.3,0.09,0.39829000000000325,0.11862000000000106,6.2691100500000045,6.080036820000003
251.218,0.3,0.09,0.4081899999999994,0.12158999999999989,6.282580319999999,6.084049290000001
251.247,0.3,0.09,0.4168900000000068,0.12420000000000213,6.29467013000001,6.087651090000004
251.282,0.3,0.09,0.42739000000000577,0.12735000000000182,6.309628780000009,6.092108340000004
251.318,0.3,0.09,0.4381900000000062,0.13059000000000195,6.325403620000009,6.096809580000004
251.355,0.3,0.09,0.4492899999999995,0.13391999999999996,6.3420273499999995,6.101764620000001
251.387,0.31,0.09,0.45921000000000284,0.13680000000000092,6.356722070000004,6.106142220000002
251.416,0.3,0.09,0.46791000000000177,0.1394100000000006,6.3702914600000025,6.1101851100000015
251.451,0.3,0.09,0.4784100000000007,0.14256000000000027,6.38703581,6.115174710000001
251.482,0.3,0.09,0.4877100000000025,0.1453500000000008,6.402154820000003,6.119680560000002
251.51,0.3,0.09,0.49610999999999994,0.14787000000000006,6.416045899999999,6.123820920000001
251.536,0.3,0.09,0.5039100000000031,0.150210000000001,6.429147560000005,6.127726380000002
251.559,0.31,0.09,0.5110400000000018,0.15228000000000066,6.440901480000003,6.131228820000001
251.593,0.3,0.09,0.5212399999999994,0.15533999999999992,6.458623639999998,6.13651038
251.621,0.31,0.09,0.5299200000000056,0.15786000000000172,6.473461400000009,6.140930460000003
251.645,0.3,0.09,0.5371200000000059,0.1600200000000018,6.486352280000009,6.1447709400000035
251.673,0.31,0.09,0.5458000000000033,0.16254000000000104,6.501634680000005,6.149322060000002
